feature,frequency,rank,word1,word2,word3,word4
more_than_for,11,7394,more,than,for,
the_scarlet_knights,11,7394,the,scarlet,knights,
and_gas_industry,11,7394,and,gas,industry,
this_month_and,11,7394,this,month,and,
a_month_to,11,7394,a,month,to,
ranked_in_the,11,7394,ranked,in,the,
lot_of_it,11,7394,lot,of,it,
of_those_things,11,7394,of,those,things,
but_it_could,11,7394,but,it,could,
as_chairman_of,11,7394,as,chairman,of,
the_department_has,11,7394,the,department,has,
it_may_not,11,7394,it,may,not,
get_the_same,11,7394,get,the,same,
make_sure_we,11,7394,make,sure,we,
could_have_done,11,7394,could,have,done,
go_to_court,11,7394,go,to,court,
compared_to_percent,11,7394,compared,to,percent,
grew_up_with,11,7394,grew,up,with,
it_has_become,11,7394,it,has,become,
percent_according_to,11,7394,percent,according,to,
university_of_colorado,11,7394,university,of,colorado,
add_up_to,11,7394,add,up,to,
the_thought_of,11,7394,the,thought,of,
on_sunday_night,11,7394,on,sunday,night,
to_determine_if,11,7394,to,determine,if,
was_a_lot,11,7394,was,a,lot,
a_balanced_budget,11,7394,a,balanced,budget,
business_in_the,11,7394,business,in,the,
with_two_outs,11,7394,with,two,outs,
on_a_yard,11,7394,on,a,yard,
first_quarter_and,11,7394,first,quarter,and,
the_chance_of,11,7394,the,chance,of,
you_can_be,11,7394,you,can,be,
all_part_of,11,7394,all,part,of,
give_him_a,11,7394,give,him,a,
second_round_pick,11,7394,second,round,pick,
good_job_of,11,7394,good,job,of,
police_responded_to,11,7394,police,responded,to,
association_and_the,11,7394,association,and,the,
when_you_think,11,7394,when,you,think,
for_me_i,11,7394,for,me,i,
to_take_him,11,7394,to,take,him,
i_wish_i,11,7394,i,wish,i,
on_their_way,11,7394,on,their,way,
to_go_but,11,7394,to,go,but,
also_found_that,11,7394,also,found,that,
did_a_great,11,7394,did,a,great,
wanted_him_to,11,7394,wanted,him,to,
on_the_offensive,11,7394,on,the,offensive,
what_i_did,11,7394,what,i,did,
no_one_can,11,7394,no,one,can,
this_past_week,11,7394,this,past,week,
be_asked_to,11,7394,be,asked,to,
on_the_bottom,11,7394,on,the,bottom,
his_first_game,11,7394,his,first,game,
sat_in_the,11,7394,sat,in,the,
in_the_downtown,11,7394,in,the,downtown,
which_is_not,11,7394,which,is,not,
of_having_to,11,7394,of,having,to,
the_arizona_republic,11,7394,the,arizona,republic,
and_i_were,11,7394,and,i,were,
this_week_but,11,7394,this,week,but,
in_case_of,11,7394,in,case,of,
defensive_player_of,11,7394,defensive,player,of,
just_the_right,11,7394,just,the,right,
the_go_ahead,11,7394,the,go,ahead,
of_people_that,11,7394,of,people,that,
that_put_the,11,7394,that,put,the,
one_of_five,11,7394,one,of,five,
interested_in_the,11,7394,interested,in,the,
be_a_huge,11,7394,be,a,huge,
to_be_paid,11,7394,to,be,paid,
to_be_built,11,7394,to,be,built,
the_race_for,11,7394,the,race,for,
to_fix_the,11,7394,to,fix,the,
they_could_not,11,7394,they,could,not,
university_of_oregon,11,7394,university,of,oregon,
during_the_summer,11,7394,during,the,summer,
dropped_out_of,11,7394,dropped,out,of,
home_at_the,11,7394,home,at,the,
first_time_and,11,7394,first,time,and,
in_the_san,11,7394,in,the,san,
standing_on_the,11,7394,standing,on,the,
more_than_miles,11,7394,more,than,miles,
for_a_month,11,7394,for,a,month,
it_was_my,11,7394,it,was,my,
like_the_one,11,7394,like,the,one,
a_heck_of,11,7394,a,heck,of,
here_and_there,11,7394,here,and,there,
all_time_high,11,7394,all,time,high,
the_world_a,11,7394,the,world,a,
to_explain_the,11,7394,to,explain,the,
and_i_can,11,7394,and,i,can,
people_in_a,11,7394,people,in,a,
the_restaurant_is,11,7394,the,restaurant,is,
even_if_he,11,7394,even,if,he,
but_now_the,11,7394,but,now,the,
for_the_benefit,11,7394,for,the,benefit,
soon_to_be,11,7394,soon,to,be,
and_how_they,11,7394,and,how,they,
than_billion_in,11,7394,than,billion,in,
said_he_doesn't,11,7394,said,he,doesn't,
a_long_and,11,7394,a,long,and,
and_ended_up,11,7394,and,ended,up,
about_one_third,11,7394,about,one,third,
said_he_plans,11,7394,said,he,plans,
and_found_the,11,7394,and,found,the,
â_this_is,11,7394,â,this,is,
didn't_know_how,11,7394,didn't,know,how,
say_it_is,11,7394,say,it,is,
have_at_least,11,7394,have,at,least,
was_not_in,11,7394,was,not,in,
is_necessary_to,11,7394,is,necessary,to,
in_october_and,11,7394,in,october,and,
waiting_for_a,11,7394,waiting,for,a,
his_father_was,11,7394,his,father,was,
for_the_rams,11,7394,for,the,rams,
and_of_the,11,7394,and,of,the,
season_to_taste,11,7394,season,to,taste,
a_small_number,11,7394,a,small,number,
open_up_the,11,7394,open,up,the,
which_he_was,11,7394,which,he,was,
in_games_and,11,7394,in,games,and,
the_american_league,11,7394,the,american,league,
aftermath_of_the,11,7394,aftermath,of,the,
in_the_post,11,7394,in,the,post,
on_his_right,11,7394,on,his,right,
be_difficult_to,11,7394,be,difficult,to,
the_state_should,11,7394,the,state,should,
people_out_of,11,7394,people,out,of,
went_into_effect,11,7394,went,into,effect,
foot_and_pounds,11,7394,foot,and,pounds,
of_the_human,11,7394,of,the,human,
and_then_he,11,7394,and,then,he,
stay_at_home,11,7394,stay,at,home,
for_a_job,11,7394,for,a,job,
but_in_this,11,7394,but,in,this,
in_the_tournament,11,7394,in,the,tournament,
the_first_five,11,7394,the,first,five,
the_welfare_of,11,7394,the,welfare,of,
more_than_anything,11,7394,more,than,anything,
when_he_said,11,7394,when,he,said,
the_euro_zone,11,7394,the,euro,zone,
it's_the_only,11,7394,it's,the,only,
but_he_doesn't,11,7394,but,he,doesn't,
be_seen_as,11,7394,be,seen,as,
what_they_want,11,7394,what,they,want,
inside_the_home,11,7394,inside,the,home,
points_or_percent,11,7394,points,or,percent,
the_highest_level,11,7394,the,highest,level,
he_was_just,11,7394,he,was,just,
too_much_to,11,7394,too,much,to,
was_due_to,11,7394,was,due,to,
â_œi_thought,11,7394,â,œi,thought,
has_the_same,11,7394,has,the,same,
at_least_once,11,7394,at,least,once,
said_the_county,11,7394,said,the,county,
time_last_year,11,7394,time,last,year,
and_he_will,11,7394,and,he,will,
the_report_says,11,7394,the,report,says,
time_in_his,11,7394,time,in,his,
robert_wood_johnson,11,7394,robert,wood,johnson,
know_what_the,11,7394,know,what,the,
need_to_go,11,7394,need,to,go,
ties_to_the,11,7394,ties,to,the,
the_position_of,11,7394,the,position,of,
came_back_to,11,7394,came,back,to,
we_are_all,11,7394,we,are,all,
ago_when_the,10,8544,ago,when,the,
next_year_the,10,8544,next,year,the,
it_and_then,10,8544,it,and,then,
opportunity_to_play,10,8544,opportunity,to,play,
of_the_greater,10,8544,of,the,greater,
it_is_no,10,8544,it,is,no,
for_children_and,10,8544,for,children,and,
isnâ_t_a,10,8544,isnâ,t,a,
to_check_on,10,8544,to,check,on,
with_plenty_of,10,8544,with,plenty,of,
have_had_their,10,8544,have,had,their,
now_is_to,10,8544,now,is,to,
people_were_killed,10,8544,people,were,killed,
benefit_from_the,10,8544,benefit,from,the,
entry_into_the,10,8544,entry,into,the,
it_more_difficult,10,8544,it,more,difficult,
the_emergency_room,10,8544,the,emergency,room,
a_standing_ovation,10,8544,a,standing,ovation,
for_the_ncaa,10,8544,for,the,ncaa,
said_â_œthis,10,8544,said,â,œthis,
we_can_be,10,8544,we,can,be,
charged_with_possession,10,8544,charged,with,possession,
from_the_school,10,8544,from,the,school,
and_the_st,10,8544,and,the,st,
are_one_of,10,8544,are,one,of,
and_it's_going,10,8544,and,it's,going,
at_p.m_monday,10,8544,at,p.m,monday,
a_note_to,10,8544,a,note,to,
like_this_is,10,8544,like,this,is,
to_be_like,10,8544,to,be,like,
a_great_team,10,8544,a,great,team,
last_week_for,10,8544,last,week,for,
many_of_our,10,8544,many,of,our,
the_yield_on,10,8544,the,yield,on,
to_accept_a,10,8544,to,accept,a,
work_hard_and,10,8544,work,hard,and,
a_staple_of,10,8544,a,staple,of,
the_season_when,10,8544,the,season,when,
the_thousands_of,10,8544,the,thousands,of,
said_i_thought,10,8544,said,i,thought,
in_a_post,10,8544,in,a,post,
up_over_the,10,8544,up,over,the,
two_run_single,10,8544,two,run,single,
office_in_january,10,8544,office,in,january,
piece_of_paper,10,8544,piece,of,paper,
of_things_that,10,8544,of,things,that,
if_i_have,10,8544,if,i,have,
given_to_the,10,8544,given,to,the,
louis_county_police,10,8544,louis,county,police,
with_a_plan,10,8544,with,a,plan,
the_middlesex_county,10,8544,the,middlesex,county,
the_only_player,10,8544,the,only,player,
position_on_the,10,8544,position,on,the,
at_a_hearing,10,8544,at,a,hearing,
u.s_bureau_of,10,8544,u.s,bureau,of,
an_issue_that,10,8544,an,issue,that,
most_of_its,10,8544,most,of,its,
this_year_â,10,8544,this,year,â,
to_law_enforcement,10,8544,to,law,enforcement,
an_investigation_into,10,8544,an,investigation,into,
with_the_no,10,8544,with,the,no,
early_in_his,10,8544,early,in,his,
and_had_no,10,8544,and,had,no,
the_color_of,10,8544,the,color,of,
to_for_a,10,8544,to,for,a,
not_interested_in,10,8544,not,interested,in,
the_ones_that,10,8544,the,ones,that,
the_state_for,10,8544,the,state,for,
but_the_state,10,8544,but,the,state,
the_title_of,10,8544,the,title,of,
most_of_all,10,8544,most,of,all,
of_the_proposed,10,8544,of,the,proposed,
were_not_immediately,10,8544,were,not,immediately,
the_state_had,10,8544,the,state,had,
about_all_the,10,8544,about,all,the,
can_do_the,10,8544,can,do,the,
had_three_hits,10,8544,had,three,hits,
last_year_on,10,8544,last,year,on,
named_in_the,10,8544,named,in,the,
in_good_faith,10,8544,in,good,faith,
you_had_to,10,8544,you,had,to,
she_tried_to,10,8544,she,tried,to,
more_than_feet,10,8544,more,than,feet,
which_is_being,10,8544,which,is,being,
a_school_record,10,8544,a,school,record,
san_francisco_bay,10,8544,san,francisco,bay,
the_arizona_law,10,8544,the,arizona,law,
would_come_from,10,8544,would,come,from,
a_time_to,10,8544,a,time,to,
terms_of_his,10,8544,terms,of,his,
has_a_strong,10,8544,has,a,strong,
into_a_new,10,8544,into,a,new,
which_he_has,10,8544,which,he,has,
who_had_just,10,8544,who,had,just,
first_quarter_of,10,8544,first,quarter,of,
the_gloucester_county,10,8544,the,gloucester,county,
was_the_right,10,8544,was,the,right,
and_other_states,10,8544,and,other,states,
season_in_the,10,8544,season,in,the,
these_guys_are,10,8544,these,guys,are,
in_most_cases,10,8544,in,most,cases,
him_to_do,10,8544,him,to,do,
old_and_new,10,8544,old,and,new,
but_the_best,10,8544,but,the,best,
for_the_democratic,10,8544,for,the,democratic,
not_only_did,10,8544,not,only,did,
as_a_first,10,8544,as,a,first,
are_available_for,10,8544,are,available,for,
during_a_visit,10,8544,during,a,visit,
eye_on_the,10,8544,eye,on,the,
with_a_time,10,8544,with,a,time,
the_board_is,10,8544,the,board,is,
to_the_state's,10,8544,to,the,state's,
it_was_also,10,8544,it,was,also,
earlier_this_season,10,8544,earlier,this,season,
and_rebounds_in,10,8544,and,rebounds,in,
that_heâ_s,10,8544,that,heâ,s,
and_over_the,10,8544,and,over,the,
it_is_that,10,8544,it,is,that,
points_on_of,10,8544,points,on,of,
asking_for_a,10,8544,asking,for,a,
photos_of_the,10,8544,photos,of,the,
believe_in_the,10,8544,believe,in,the,
our_goal_is,10,8544,our,goal,is,
spot_for_the,10,8544,spot,for,the,
to_do_business,10,8544,to,do,business,
a_great_time,10,8544,a,great,time,
of_it_all,10,8544,of,it,all,
only_thing_that,10,8544,only,thing,that,
and_two_touchdowns,10,8544,and,two,touchdowns,
real_salt_lake,10,8544,real,salt,lake,
a_testament_to,10,8544,a,testament,to,
than_two_hours,10,8544,than,two,hours,
than_a_century,10,8544,than,a,century,
services_for_the,10,8544,services,for,the,
man_who_had,10,8544,man,who,had,
that_called_for,10,8544,that,called,for,
p.m_and_p.m,10,8544,p.m,and,p.m,
that_made_it,10,8544,that,made,it,
signed_into_law,10,8544,signed,into,law,
more_information_or,10,8544,more,information,or,
the_state_house,10,8544,the,state,house,
three_run_homer,10,8544,three,run,homer,
homer_in_the,10,8544,homer,in,the,
on_main_street,10,8544,on,main,street,
was_set_to,10,8544,was,set,to,
â_according_to,10,8544,â,according,to,
oregon_state_police,10,8544,oregon,state,police,
a_once_in,10,8544,a,once,in,
in_a_lifetime,10,8544,in,a,lifetime,
at_the_masters,10,8544,at,the,masters,
and_so_on,10,8544,and,so,on,
line_in_the,10,8544,line,in,the,
cap_and_trade,10,8544,cap,and,trade,
to_put_in,10,8544,to,put,in,
as_to_the,10,8544,as,to,the,
are_the_ones,10,8544,are,the,ones,
base_in_the,10,8544,base,in,the,
year_million_contract,10,8544,year,million,contract,
and_the_government,10,8544,and,the,government,
a_wide_ranging,10,8544,a,wide,ranging,
a_republican_from,10,8544,a,republican,from,
for_the_remainder,10,8544,for,the,remainder,
but_right_now,10,8544,but,right,now,
those_who_do,10,8544,those,who,do,
on_defense_and,10,8544,on,defense,and,
not_know_about,10,8544,not,know,about,
cars_in_the,10,8544,cars,in,the,
it_from_the,10,8544,it,from,the,
in_a_perfect,10,8544,in,a,perfect,
a_perfect_world,10,8544,a,perfect,world,
it_is_hard,10,8544,it,is,hard,
concerns_that_the,10,8544,concerns,that,the,
and_led_to,10,8544,and,led,to,
and_a_handful,10,8544,and,a,handful,
if_we_could,10,8544,if,we,could,
to_p.m_on,10,8544,to,p.m,on,
and_dinner_daily,10,8544,and,dinner,daily,
set_the_tone,10,8544,set,the,tone,
to_do_some,10,8544,to,do,some,
if_they_could,10,8544,if,they,could,
it_is_my,10,8544,it,is,my,
from_the_top,10,8544,from,the,top,
the_season_after,10,8544,the,season,after,
the_top_spot,10,8544,the,top,spot,
organized_by_the,10,8544,organized,by,the,
you_could_get,10,8544,you,could,get,
do_the_job,10,8544,do,the,job,
and_what_we,10,8544,and,what,we,
one_out_in,10,8544,one,out,in,
tried_to_make,10,8544,tried,to,make,
not_like_the,10,8544,not,like,the,
federal_aviation_administration,10,8544,federal,aviation,administration,
some_of_your,10,8544,some,of,your,
chairman_and_chief,10,8544,chairman,and,chief,
a_place_of,10,8544,a,place,of,
into_the_lineup,10,8544,into,the,lineup,
to_fill_out,10,8544,to,fill,out,
in_part_on,10,8544,in,part,on,
will_come_to,10,8544,will,come,to,
dead_at_the,10,8544,dead,at,the,
early_next_year,10,8544,early,next,year,
probably_won't_be,10,8544,probably,won't,be,
chairman_and_ceo,10,8544,chairman,and,ceo,
tied_the_game,10,8544,tied,the,game,
at_the_old,10,8544,at,the,old,
to_the_stage,10,8544,to,the,stage,
while_she_was,10,8544,while,she,was,
it_feels_like,10,8544,it,feels,like,
for_example_if,10,8544,for,example,if,
far_more_than,10,8544,far,more,than,
than_the_average,10,8544,than,the,average,
we_get_a,10,8544,we,get,a,
of_what_was,10,8544,of,what,was,
qualified_for_the,10,8544,qualified,for,the,
in_spite_of,10,8544,in,spite,of,
is_not_always,10,8544,is,not,always,
one_at_a,10,8544,one,at,a,
the_romney_campaign,10,8544,the,romney,campaign,
her_to_a,10,8544,her,to,a,
might_be_able,10,8544,might,be,able,
fourth_quarter_and,10,8544,fourth,quarter,and,
a_short_walk,10,8544,a,short,walk,
minutes_in_the,10,8544,minutes,in,the,
it_is_unclear,10,8544,it,is,unclear,
long_history_of,10,8544,long,history,of,
making_it_a,10,8544,making,it,a,
look_at_what,10,8544,look,at,what,
then_it_was,10,8544,then,it,was,
the_style_of,10,8544,the,style,of,
think_of_a,10,8544,think,of,a,
for_the_right,10,8544,for,the,right,
in_the_red,10,8544,in,the,red,
of_seven_series,10,8544,of,seven,series,
to_be_getting,10,8544,to,be,getting,
extent_of_the,10,8544,extent,of,the,
especially_with_the,10,8544,especially,with,the,
is_so_much,10,8544,is,so,much,
year_of_the,10,8544,year,of,the,
an_integral_part,10,8544,an,integral,part,
integral_part_of,10,8544,integral,part,of,
millions_of_people,10,8544,millions,of,people,
exchange_for_a,10,8544,exchange,for,a,
north_st_louis,10,8544,north,st,louis,
a_young_age,10,8544,a,young,age,
being_held_at,10,8544,being,held,at,
lieu_of_bail,10,8544,lieu,of,bail,
armed_with_a,10,8544,armed,with,a,
earned_run_average,10,8544,earned,run,average,
sweeney_d_gloucester,10,8544,sweeney,d,gloucester,
be_looking_for,10,8544,be,looking,for,
of_each_other,10,8544,of,each,other,
the_u.s_olympic,10,8544,the,u.s,olympic,
we're_in_the,10,8544,we're,in,the,
soon_as_the,10,8544,soon,as,the,
portland_state_university,10,8544,portland,state,university,
the_shape_of,10,8544,the,shape,of,
they_are_doing,10,8544,they,are,doing,
new_jersey_to,10,8544,new,jersey,to,
without_having_to,10,8544,without,having,to,
will_be_to,10,8544,will,be,to,
then_there_is,10,8544,then,there,is,
what_went_wrong,10,8544,what,went,wrong,
performing_arts_center,10,8544,performing,arts,center,
he_is_looking,10,8544,he,is,looking,
week_on_the,10,8544,week,on,the,
i'm_looking_forward,10,8544,i'm,looking,forward,
in_the_real,10,8544,in,the,real,
ages_and_younger,10,8544,ages,and,younger,
assembly_speaker_sheila,10,8544,assembly,speaker,sheila,
speaker_sheila_oliver,10,8544,speaker,sheila,oliver,
in_the_story,10,8544,in,the,story,
the_front_page,10,8544,the,front,page,
long_been_a,10,8544,long,been,a,
is_still_being,10,8544,is,still,being,
long_time_to,10,8544,long,time,to,
from_behind_the,10,8544,from,behind,the,
used_for_the,10,8544,used,for,the,
he_worked_for,10,8544,he,worked,for,
them_because_they,10,8544,them,because,they,
from_high_school,10,8544,from,high,school,
he_may_not,10,8544,he,may,not,
in_the_yard,10,8544,in,the,yard,
a_very_difficult,10,8544,a,very,difficult,
nearly_two_years,10,8544,nearly,two,years,
recent_years_the,10,8544,recent,years,the,
working_at_the,10,8544,working,at,the,
the_real_thing,10,8544,the,real,thing,
in_new_brunswick,10,8544,in,new,brunswick,
someone_who_has,10,8544,someone,who,has,
started_with_a,10,8544,started,with,a,
a_tour_of,10,8544,a,tour,of,
on_the_football,10,8544,on,the,football,
the_real_deal,10,8544,the,real,deal,
said_we_had,10,8544,said,we,had,
the_chicago_tribune,10,8544,the,chicago,tribune,
in_greater_cleveland,10,8544,in,greater,cleveland,
arizona_department_of,10,8544,arizona,department,of,
were_called_to,10,8544,were,called,to,
called_to_the,10,8544,called,to,the,
told_them_that,10,8544,told,them,that,
than_it_was,10,8544,than,it,was,
of_the_business,10,8544,of,the,business,
to_a_few,10,8544,to,a,few,
the_meaning_of,10,8544,the,meaning,of,
love_to_have,10,8544,love,to,have,
to_have_another,10,8544,to,have,another,
important_that_we,10,8544,important,that,we,
the_year_award,10,8544,the,year,award,
of_the_water,10,8544,of,the,water,
in_the_system,10,8544,in,the,system,
the_back_seat,10,8544,the,back,seat,
us_to_the,10,8544,us,to,the,
in_other_ways,10,8544,in,other,ways,
a_vote_of,10,8544,a,vote,of,
to_decide_whether,10,8544,to,decide,whether,
in_the_original,10,8544,in,the,original,
name_on_the,10,8544,name,on,the,
but_it's_still,10,8544,but,it's,still,
important_to_me,10,8544,important,to,me,
of_the_remaining,10,8544,of,the,remaining,
time_but_the,10,8544,time,but,the,
signed_up_for,10,8544,signed,up,for,
i_like_it,10,8544,i,like,it,
cup_of_coffee,10,8544,cup,of,coffee,
but_if_he,10,8544,but,if,he,
things_to_do,10,8544,things,to,do,
service_to_the,10,8544,service,to,the,
that_you_are,10,8544,that,you,are,
to_give_you,10,8544,to,give,you,
to_the_polls,10,8544,to,the,polls,
a_wave_of,10,8544,a,wave,of,
of_a_game,10,8544,of,a,game,
in_cash_and,10,8544,in,cash,and,
the_field_for,10,8544,the,field,for,
a_professor_at,10,8544,a,professor,at,
to_read_the,10,8544,to,read,the,
he_was_convicted,10,8544,he,was,convicted,
was_a_real,10,8544,was,a,real,
as_a_man,10,8544,as,a,man,
if_i_were,10,8544,if,i,were,
and_her_mother,10,8544,and,her,mother,
of_the_teams,10,8544,of,the,teams,
what_he_does,10,8544,what,he,does,
what_i_am,10,8544,what,i,am,
the_sheriff's_department,10,8544,the,sheriff's,department,
they_don't_know,10,8544,they,don't,know,
asked_to_contact,10,8544,asked,to,contact,
for_a_decade,10,8544,for,a,decade,
school_for_the,10,8544,school,for,the,
during_his_first,10,8544,during,his,first,
in_new_mexico,10,8544,in,new,mexico,
feet_in_the,10,8544,feet,in,the,
we_have_in,10,8544,we,have,in,
the_year_as,10,8544,the,year,as,
the_situation_and,10,8544,the,situation,and,
the_democratic_primary,10,8544,the,democratic,primary,
and_three_touchdowns,10,8544,and,three,touchdowns,
she_was_an,10,8544,she,was,an,
the_institute_for,10,8544,the,institute,for,
based_on_his,10,8544,based,on,his,
is_the_third,10,8544,is,the,third,
in_the_newspaper,10,8544,in,the,newspaper,
the_burden_of,10,8544,the,burden,of,
i_think_people,10,8544,i,think,people,
for_the_week,10,8544,for,the,week,
but_he_had,10,8544,but,he,had,
to_the_main,10,8544,to,the,main,
times_for_yards,10,8544,times,for,yards,
told_her_he,10,8544,told,her,he,
branch_of_the,10,8544,branch,of,the,
chairwoman_of_the,10,8544,chairwoman,of,the,
fifth_in_the,10,8544,fifth,in,the,
sitting_in_a,10,8544,sitting,in,a,
had_come_to,10,8544,had,come,to,
the_city_that,10,8544,the,city,that,
making_sure_the,10,8544,making,sure,the,
heard_about_the,10,8544,heard,about,the,
story_about_the,10,8544,story,about,the,
she_said_it's,10,8544,she,said,it's,
in_the_show,10,8544,in,the,show,
i_have_had,10,8544,i,have,had,
among_the_best,10,8544,among,the,best,
it_wasn't_a,10,8544,it,wasn't,a,
you_would_have,10,8544,you,would,have,
it's_ok_to,10,8544,it's,ok,to,
ruled_that_the,10,8544,ruled,that,the,
a_group_called,10,8544,a,group,called,
there's_a_new,10,8544,there's,a,new,
past_two_weeks,10,8544,past,two,weeks,
issue_in_the,10,8544,issue,in,the,
a_board_member,10,8544,a,board,member,
â_mcmillan_said,10,8544,â,mcmillan,said,
mcmillan_said_â,10,8544,mcmillan,said,â,
this_school_year,10,8544,this,school,year,
must_have_been,10,8544,must,have,been,
we_were_all,10,8544,we,were,all,
of_the_box,10,8544,of,the,box,
federal_government_has,10,8544,federal,government,has,
and_general_motors,10,8544,and,general,motors,
and_thousands_of,10,8544,and,thousands,of,
on_the_economy,10,8544,on,the,economy,
their_year_old,10,8544,their,year,old,
with_million_in,10,8544,with,million,in,
the_worldâ_s,10,8544,the,worldâ,s,
students_at_the,10,8544,students,at,the,
have_more_than,10,8544,have,more,than,
i_could_do,10,8544,i,could,do,
and_killed_by,10,8544,and,killed,by,
if_there's_a,10,8544,if,there's,a,
at_pates_and,10,8544,at,pates,and,
opt_out_of,10,8544,opt,out,of,
a_response_to,10,8544,a,response,to,
would_likely_be,10,8544,would,likely,be,
third_and_fourth,10,8544,third,and,fourth,
a_public_hearing,10,8544,a,public,hearing,
more_time_to,10,8544,more,time,to,
hours_of_the,10,8544,hours,of,the,
think_that_the,10,8544,think,that,the,
and_last_year,10,8544,and,last,year,
far_away_as,10,8544,far,away,as,
of_the_overall,10,8544,of,the,overall,
los_angeles_galaxy,10,8544,los,angeles,galaxy,
we_will_continue,10,8544,we,will,continue,
when_he_is,10,8544,when,he,is,
we_got_to,10,8544,we,got,to,
over_the_phone,10,8544,over,the,phone,
is_no_doubt,10,8544,is,no,doubt,
on_wednesday_night,10,8544,on,wednesday,night,
the_1960s_and,10,8544,the,1960s,and,
think_i_can,10,8544,think,i,can,
cuyahoga_county_commissioner,10,8544,cuyahoga,county,commissioner,
the_plan_is,10,8544,the,plan,is,
have_to_figure,10,8544,have,to,figure,
the_early_stages,10,8544,the,early,stages,
on_a_conference,10,8544,on,a,conference,
said_he_wouldn't,10,8544,said,he,wouldn't,
to_fight_the,10,8544,to,fight,the,
can_only_hope,10,8544,can,only,hope,
the_challenge_of,10,8544,the,challenge,of,
told_him_to,10,8544,told,him,to,
million_in_tax,10,8544,million,in,tax,
in_that_case,10,8544,in,that,case,
city_of_cleveland,10,8544,city,of,cleveland,
other_end_of,10,8544,other,end,of,
board_of_commissioners,10,8544,board,of,commissioners,
his_time_in,10,8544,his,time,in,
who_are_going,10,8544,who,are,going,
the_free_throw,10,8544,the,free,throw,
who_made_the,10,8544,who,made,the,
the_formation_of,10,8544,the,formation,of,
to_the_st,10,8544,to,the,st,
i_hope_to,10,8544,i,hope,to,
the_rules_of,10,8544,the,rules,of,
the_final_game,10,8544,the,final,game,
is_with_a,10,8544,is,with,a,
going_to_try,10,8544,going,to,try,
the_event_was,10,8544,the,event,was,
two_months_ago,10,8544,two,months,ago,
should_be_the,10,8544,should,be,the,
component_of_the,10,8544,component,of,the,
of_the_cityâ,10,8544,of,the,cityâ,
down_from_percent,10,8544,down,from,percent,
with_a_loss,10,8544,with,a,loss,
he_was_so,10,8544,he,was,so,
the_north_side,10,8544,the,north,side,
i_was_thinking,10,8544,i,was,thinking,
for_which_he,10,8544,for,which,he,
age_of_the,10,8544,age,of,the,
stake_in_the,10,8544,stake,in,the,
is_available_at,10,8544,is,available,at,
to_conduct_a,10,8544,to,conduct,a,
blue_and_white,10,8544,blue,and,white,
was_taking_a,10,8544,was,taking,a,
the_victim_of,10,8544,the,victim,of,
of_interest_in,10,8544,of,interest,in,
right_now_we,10,8544,right,now,we,
place_from_p.m,10,8544,place,from,p.m,
or_to_register,10,8544,or,to,register,
to_register_go,10,8544,to,register,go,
and_see_how,10,8544,and,see,how,
case_of_a,10,8544,case,of,a,
be_open_for,10,8544,be,open,for,
best_of_all,10,8544,best,of,all,
high_school_sports,10,8544,high,school,sports,
to_the_cleveland,10,8544,to,the,cleveland,
off_the_table,10,8544,off,the,table,
a_partner_at,10,8544,a,partner,at,
up_about_percent,10,8544,up,about,percent,
it_was_because,10,8544,it,was,because,
less_of_a,10,8544,less,of,a,
he_says_but,10,8544,he,says,but,
it_it_was,10,8544,it,it,was,
know_that_i,10,8544,know,that,i,
a_food_processor,10,8544,a,food,processor,
olive_oil_and,10,8544,olive,oil,and,
and_she_has,10,8544,and,she,has,
of_the_museum,10,8544,of,the,museum,
argues_that_the,10,8544,argues,that,the,
was_surprised_to,10,8544,was,surprised,to,
first_quarter_profit,10,8544,first,quarter,profit,
of_life_in,10,8544,of,life,in,
can't_wait_to,10,8544,can't,wait,to,
the_bodies_of,10,8544,the,bodies,of,
of_the_war,10,8544,of,the,war,
and_when_he,10,8544,and,when,he,
east_side_of,10,8544,east,side,of,
the_board_will,10,8544,the,board,will,
the_time_we,10,8544,the,time,we,
and_the_same,10,8544,and,the,same,
mom_and_dad,10,8544,mom,and,dad,
he_saw_a,10,8544,he,saw,a,
st_patrick's_day,10,8544,st,patrick's,day,
is_to_create,10,8544,is,to,create,
were_looking_for,10,8544,were,looking,for,
the_washington_county,10,8544,the,washington,county,
to_finish_the,10,8544,to,finish,the,
have_the_option,10,8544,have,the,option,
slightly_more_than,10,8544,slightly,more,than,
who_finished_with,10,8544,who,finished,with,
the_final_seconds,10,8544,the,final,seconds,
the_estate_tax,10,8544,the,estate,tax,
word_of_mouth,10,8544,word,of,mouth,
adding_to_the,10,8544,adding,to,the,
been_to_the,10,8544,been,to,the,
for_the_three,10,8544,for,the,three,
the_park_and,10,8544,the,park,and,
more_of_an,10,8544,more,of,an,
be_among_the,10,8544,be,among,the,
on_base_percentage,10,8544,on,base,percentage,
don't_seem_to,10,8544,don't,seem,to,
the_city_was,10,8544,the,city,was,
â_has_been,10,8544,â,has,been,
she_had_no,10,8544,she,had,no,
i_go_to,10,8544,i,go,to,
and_the_san,10,8544,and,the,san,
to_realize_that,10,8544,to,realize,that,
could_have_gone,10,8544,could,have,gone,
percent_last_year,10,8544,percent,last,year,
likely_to_have,10,8544,likely,to,have,
left_on_the,10,8544,left,on,the,
all_of_my,10,8544,all,of,my,
fans_of_the,10,8544,fans,of,the,
